TIME,STATE,TIMER,NS,EW
3000000000000,0,0,G,R
4000000000000,0,1,G,R
5000000000000,0,2,G,R
6000000000000,0,3,G,R
7000000000000,0,4,G,R
8000000000000,0,5,G,R
9000000000000,0,6,G,R
10000000000000,0,7,G,R
11000000000000,0,8,G,R
12000000000000,0,9,G,R
13000000000000,1,0,Y,R
14000000000000,1,1,Y,R
15000000000000,1,2,Y,R
16000000000000,2,0,R,G
17000000000000,2,1,R,G
18000000000000,2,2,R,G
19000000000000,2,3,R,G
20000000000000,2,4,R,G
21000000000000,2,5,R,G
22000000000000,2,6,R,G
23000000000000,2,7,R,G
24000000000000,2,8,R,G
25000000000000,2,9,R,G
26000000000000,3,0,R,Y
27000000000000,3,1,R,Y
28000000000000,3,2,R,Y
29000000000000,0,0,G,R
30000000000000,0,1,G,R
31000000000000,0,2,G,R
32000000000000,0,3,G,R
33000000000000,0,4,G,R
34000000000000,0,5,G,R
35000000000000,0,6,G,R
36000000000000,0,7,G,R
37000000000000,0,8,G,R
38000000000000,0,9,G,R
39000000000000,1,0,Y,R
40000000000000,1,1,Y,R
41000000000000,1,2,Y,R
42000000000000,2,0,R,G
43000000000000,2,1,R,G
44000000000000,2,2,R,G
45000000000000,2,3,R,G
46000000000000,2,4,R,G
47000000000000,2,5,R,G
48000000000000,2,6,R,G
49000000000000,2,7,R,G
50000000000000,2,8,R,G
51000000000000,2,9,R,G
52000000000000,3,0,R,Y
53000000000000,3,1,R,Y
54000000000000,3,2,R,Y
55000000000000,0,0,G,R
56000000000000,0,1,G,R
57000000000000,0,2,G,R
58000000000000,0,3,G,R
59000000000000,0,4,G,R
60000000000000,0,5,G,R
61000000000000,0,6,G,R
62000000000000,0,7,G,R
63000000000000,0,8,G,R
64000000000000,0,9,G,R
65000000000000,1,0,Y,R
66000000000000,1,1,Y,R
67000000000000,1,2,Y,R
68000000000000,2,0,R,G
69000000000000,2,1,R,G
70000000000000,2,2,R,G
71000000000000,2,3,R,G
72000000000000,2,4,R,G
73000000000000,2,5,R,G
74000000000000,2,6,R,G
75000000000000,2,7,R,G
76000000000000,2,8,R,G
77000000000000,2,9,R,G
78000000000000,3,0,R,Y
79000000000000,3,1,R,Y
80000000000000,3,2,R,Y
81000000000000,0,0,G,R
82000000000000,0,1,G,R
83000000000000,0,2,G,R
84000000000000,0,3,G,R
85000000000000,0,4,G,R
86000000000000,0,5,G,R
87000000000000,0,6,G,R
88000000000000,0,7,G,R
89000000000000,0,8,G,R
90000000000000,0,9,G,R
91000000000000,1,0,Y,R
92000000000000,1,1,Y,R
93000000000000,1,2,Y,R
94000000000000,2,0,R,G
95000000000000,2,1,R,G
96000000000000,2,2,R,G
97000000000000,2,3,R,G
98000000000000,2,4,R,G
99000000000000,2,5,R,G
100000000000000,2,6,R,G
